
                                                                                                                                    
 ▄▄▄▄▄▄▄ ▄▄▄   ▄▄▄  ▄▄▄▄▄▄▄       ▄▄▄▄▄▄▄                ▄▄              ▄▄▄▄▄▄▄ ▄▄▄▄▄▄▄▄▄ ▄▄▄▄▄▄▄    ▄▄▄▄▄▄▄   ▄▄▄▄   ▄▄▄      ▄▄▄ 
███▀▀▀▀▀ ███   ███ ███▀▀▀▀▀       ███▀▀███▄       ▀▀     ██             █████▀▀▀ ▀▀▀███▀▀▀ ███▀▀███▄ ███▀▀▀▀▀ ▄██▀▀██▄ ████▄  ▄████ 
███▄▄    █████████ ███▄▄          ███▄▄███▀  ▀▀█▄ ██  ▄████ ▄█▀█▄ ████▄  ▀████▄     ███    ███▄▄███▀ ███▄▄    ███  ███ ███▀████▀███ 
███▀▀    ███▀▀▀███ ███      ▀▀▀▀▀ ███▀▀██▄  ▄█▀██ ██  ██ ██ ██▄█▀ ██ ▀▀    ▀████    ███    ███▀▀██▄  ███      ███▀▀███ ███  ▀▀  ███ 
███      ███   ███ ▀███████       ███  ▀███ ▀█▄██ ██▄ ▀████ ▀█▄▄▄ ██    ███████▀    ███    ███  ▀███ ▀███████ ███  ███ ███      ███ 
                                                                                                                                    
                                                                                                                                    

name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"FHERaiderSTREAM/RS_SEQ_COPY/32768/1/40",4018,0.247421,0.173021,ms,1.21208e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_COPY/32768/5/40",1206,0.768086,0.582017,ms,1.80162e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_COPY/32768/20/40",283,3.08328,2.46505,ms,1.70151e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_COPY/32768/40/40",144,5.92242,4.96986,ms,1.6879e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_COPY/65536/1/40",3053,0.331851,0.23217,ms,1.80657e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_COPY/65536/5/40",582,1.56499,1.23573,ms,1.6971e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_COPY/65536/20/40",142,6.07549,4.79396,ms,1.74983e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_COPY/65536/40/40",69,11.5923,10.0946,ms,1.662e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_COPY/131072/1/40",1399,0.781531,0.478181,ms,1.75428e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_COPY/131072/5/40",291,3.12411,2.43704,ms,1.72107e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_COPY/131072/20/40",71,11.7534,9.9249,ms,1.69042e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_COPY/131072/40/40",35,23.633,20.1612,ms,1.66431e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_SCALE/32768/1/40",2452,0.397919,0.266293,ms,7.87534e+10,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_SCALE/32768/5/40",767,1.34861,0.862427,ms,1.21584e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_SCALE/32768/20/40",223,4.54572,2.91606,ms,1.43834e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_SCALE/32768/40/40",116,8.68387,5.82759,ms,1.43946e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_SCALE/65536/1/40",1777,0.622399,0.405489,ms,1.03438e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_SCALE/65536/5/40",449,2.35067,1.5675,ms,1.3379e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_SCALE/65536/20/40",136,8.77981,6.09903,ms,1.3754e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_SCALE/65536/40/40",50,17.7447,12.0054,ms,1.39747e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_SCALE/131072/1/40",1019,1.07516,0.703944,ms,1.19166e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_SCALE/131072/5/40",220,4.63531,3.0426,ms,1.37853e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_SCALE/131072/20/40",54,18.353,12.442,ms,1.34844e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_SCALE/131072/40/40",28,35.2875,26.2999,ms,1.27584e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_ADD/32768/1/40",3522,0.28972,0.200585,ms,1.56828e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_ADD/32768/5/40",835,1.07984,0.827498,ms,1.90075e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_ADD/32768/20/40",216,4.10945,3.31651,ms,1.89701e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_ADD/32768/40/40",98,8.71471,6.38584,ms,1.97044e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_ADD/65536/1/40",2209,0.478718,0.319647,ms,1.96825e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_ADD/65536/5/40",420,2.2536,1.59585,ms,1.97119e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_ADD/65536/20/40",106,8.51138,6.72747,ms,1.87038e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_ADD/65536/40/40",53,16.8844,14.1404,ms,1.77971e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_ADD/131072/1/40",1086,1.17732,0.658172,ms,1.9118e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_ADD/131072/5/40",211,4.10985,3.25247,ms,1.93436e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_ADD/131072/20/40",54,15.6927,13.6305,ms,1.84629e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_ADD/131072/40/40",23,30.8721,28.4931,ms,1.76645e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_TRIAD/32768/1/40",2270,0.456429,0.309716,ms,1.01568e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_TRIAD/32768/5/40",670,1.55767,1.06426,ms,1.47789e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_TRIAD/32768/20/40",181,5.85568,3.89681,ms,1.61451e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_TRIAD/32768/40/40",84,11.3189,7.57842,ms,1.66036e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_TRIAD/65536/1/40",1447,0.782094,0.490523,ms,1.2826e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_TRIAD/65536/5/40",356,3.07206,2.03201,ms,1.54809e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_TRIAD/65536/20/40",86,11.2278,7.91379,ms,1.59e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_TRIAD/65536/40/40",49,21.9014,17.1032,ms,1.47141e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_TRIAD/131072/1/40",827,1.35012,0.863609,ms,1.45701e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_TRIAD/131072/5/40",169,5.98625,3.96739,ms,1.58579e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_TRIAD/131072/20/40",44,21.9665,15.9168,ms,1.58108e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_SEQ_TRIAD/131072/40/40",23,41.058,31.247,ms,1.61077e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_COPY/32768/1/40",4081,0.259696,0.170046,ms,1.23328e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_COPY/32768/5/40",1229,0.768836,0.585432,ms,1.79112e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_COPY/32768/20/40",290,3.06581,2.44402,ms,1.71615e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_COPY/32768/40/40",100,6.81806,5.03096,ms,1.6674e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_COPY/65536/1/40",3018,0.35291,0.235804,ms,1.77873e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_COPY/65536/5/40",563,1.59698,1.21437,ms,1.72695e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_COPY/65536/20/40",145,5.98252,4.91678,ms,1.70612e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_COPY/65536/40/40",65,11.8712,10.2244,ms,1.64089e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_COPY/131072/1/40",1565,0.605215,0.446953,ms,1.87684e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_COPY/131072/5/40",291,3.32916,2.52704,ms,1.65977e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_COPY/131072/20/40",73,11.7518,9.87696,ms,1.69862e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_COPY/131072/40/40",34,23.0627,20.3239,ms,1.65099e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_SCALE/32768/1/40",2590,0.403587,0.275831,ms,7.60304e+10,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_SCALE/32768/5/40",857,1.28869,0.858503,ms,1.2214e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_SCALE/32768/20/40",222,4.66374,2.99014,ms,1.40271e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_SCALE/32768/40/40",109,9.16067,6.17814,ms,1.35779e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_SCALE/65536/1/40",1661,0.678926,0.421005,ms,9.96261e+10,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_SCALE/65536/5/40",442,2.45345,1.63274,ms,1.28443e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_SCALE/65536/20/40",113,9.27828,6.34148,ms,1.32282e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_SCALE/65536/40/40",51,17.9957,11.645,ms,1.44072e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_SCALE/131072/1/40",1027,1.17029,0.700188,ms,1.19805e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_SCALE/131072/5/40",229,4.8959,2.9833,ms,1.40593e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_SCALE/131072/20/40",60,17.8841,12.6919,ms,1.32188e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_SCALE/131072/40/40",28,33.7932,24.344,ms,1.37834e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_ADD/32768/1/40",3471,0.291314,0.201525,ms,1.56096e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_ADD/32768/5/40",825,1.07229,0.818838,ms,1.92085e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_ADD/32768/20/40",207,4.10263,3.30234,ms,1.90515e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_ADD/32768/40/40",103,8.0589,6.57691,ms,1.91319e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_ADD/65536/1/40",2279,0.479569,0.312252,ms,2.01486e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_ADD/65536/5/40",427,2.29737,1.69743,ms,1.85323e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_ADD/65536/20/40",103,8.09317,6.75121,ms,1.8638e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_ADD/65536/40/40",50,15.9014,13.2316,ms,1.90195e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_ADD/131072/1/40",1146,0.882851,0.621825,ms,2.02354e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_ADD/131072/5/40",227,4.35848,3.22443,ms,1.95118e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_ADD/131072/20/40",51,15.566,13.2787,ms,1.8952e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_ADD/131072/40/40",25,31.3287,26.7958,ms,1.87834e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_TRIAD/32768/1/40",2531,0.388895,0.273318,ms,1.15094e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_TRIAD/32768/5/40",813,1.345,0.924256,ms,1.70176e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_TRIAD/32768/20/40",193,5.17266,3.57838,ms,1.75819e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_TRIAD/32768/40/40",92,9.82564,7.42069,ms,1.69565e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_TRIAD/65536/1/40",1717,0.646488,0.410984,ms,1.53083e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_TRIAD/65536/5/40",417,2.58956,1.74263,ms,1.80516e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_TRIAD/65536/20/40",102,9.76217,7.13334,ms,1.76396e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_TRIAD/65536/40/40",45,19.0695,14.411,ms,1.7463e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_TRIAD/131072/1/40",867,1.77052,0.806319,ms,1.56054e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_TRIAD/131072/5/40",206,5.03657,3.5037,ms,1.79566e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_TRIAD/131072/20/40",52,19.8366,14.2795,ms,1.76238e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_GATHER_TRIAD/131072/40/40",24,35.913,27.157,ms,1.85336e+11,,"Batch: 40",,
"FHERaiderSTREAM/RS_NTT_ROUNDTRIP/32768/1/40",354,2.9328,2.04751,ms,1.02425e+10,,"Batch: 40",,
"FHERaiderSTREAM/RS_NTT_ROUNDTRIP/32768/5/40",73,13.6479,9.77637,ms,1.07256e+10,,"Batch: 40",,
"FHERaiderSTREAM/RS_NTT_ROUNDTRIP/32768/20/40",20,47.916,38.9664,ms,1.07639e+10,,"Batch: 40",,
"FHERaiderSTREAM/RS_NTT_ROUNDTRIP/32768/40/40",9,88.7722,70.1102,ms,1.19649e+10,,"Batch: 40",,
"FHERaiderSTREAM/RS_NTT_ROUNDTRIP/65536/1/40",182,5.58563,3.86162,ms,1.08615e+10,,"Batch: 40",,
"FHERaiderSTREAM/RS_NTT_ROUNDTRIP/65536/5/40",39,25.3952,18.8019,ms,1.1154e+10,,"Batch: 40",,
"FHERaiderSTREAM/RS_NTT_ROUNDTRIP/65536/20/40",8,87.7247,75.8474,ms,1.10599e+10,,"Batch: 40",,
"FHERaiderSTREAM/RS_NTT_ROUNDTRIP/65536/40/40",4,174.46,148.895,ms,1.12678e+10,,"Batch: 40",,
"FHERaiderSTREAM/RS_NTT_ROUNDTRIP/131072/1/40",91,11.9477,8.21523,ms,1.0211e+10,,"Batch: 40",,
"FHERaiderSTREAM/RS_NTT_ROUNDTRIP/131072/5/40",16,52.6531,43.824,ms,9.57079e+09,,"Batch: 40",,
"FHERaiderSTREAM/RS_NTT_ROUNDTRIP/131072/20/40",4,182.892,163.91,ms,1.02356e+10,,"Batch: 40",,
"FHERaiderSTREAM/RS_NTT_ROUNDTRIP/131072/40/40",2,357.949,320.324,ms,1.04751e+10,,"Batch: 40",,
