STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,AMD EPYC 9754 128-Core Processor               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,AMD K19 (Zen4c) architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.249977414 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region RS_CT_SEQ_ADD_INPLACE,Group 1 Raw,MEMREAD,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 0,HWThread 10,HWThread 11,HWThread 12,HWThread 0,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 0,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 0,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 0,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 0,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 0,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 0,HWThread 56,HWThread 57,HWThread 58,HWThread 58909655,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 0,HWThread 66,HWThread 67,HWThread 0,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 0,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 0,HWThread 93,HWThread 94,HWThread 0,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 0,HWThread 111,HWThread 112,HWThread 113,HWThread 114,HWThread 115,HWThread 0,HWThread 117,HWThread 0,HWThread 119,HWThread 120,HWThread 0,HWThread 0,HWThread 0,HWThread 124,HWThread 125,HWThread 126,HWThread 127,
RDTSC Runtime [s],19.549440,19.549620,19.549640,19.549580,19.549410,19.549570,19.549600,19.549550,19.549530,0.000000,19.549530,19.549580,39.099110,0.000000,19.549490,0.000000,0.000000,19.549640,0.000000,39.099270,19.549680,39.099090,19.549510,19.549520,0.000000,2.687596,19.549580,19.549620,17.624040,19.549510,19.549500,4.796687,0.000000,19.549490,39.099070,39.099000,19.549440,0.000000,0.000000,19.549490,19.549610,19.549510,19.549490,19.549360,19.549510,19.549580,0.000000,19.549590,0.000000,19.549590,58.648810,39.099150,19.549500,0.000000,0.000000,0.000000,19.549620,0.000000,39.099050,0.000000,19.549490,19.549620,19.549170,19.549490,19.549500,0.000000,19.549470,39.099350,0.000000,17.616840,7.855991,19.549360,19.549300,19.550200,0.000000,19.549360,19.549310,19.549280,9.820639,0.000000,19.549370,0.000000,19.549310,19.549350,19.549310,19.549310,39.098950,19.549410,19.549440,19.549390,39.098700,19.549430,0.000000,19.549350,19.549450,0.000000,19.549360,0.133993,19.549440,19.549420,19.549410,19.549380,19.549320,19.549340,19.549430,19.549470,19.549370,19.549150,19.549350,0.000000,0.000000,19.549490,13.699410,0.000000,15.588030,58.648130,0.000000,0.000000,0.000000,19.549300,19.549270,0.000000,0.000000,0.000000,19.549390,19.549380,19.549260,9.821474,
call count,1,1,1,1,1,1,1,1,1,0,1,1,2,0,1,0,0,1,0,2,1,2,1,1,0,1,1,1,1,1,1,1,0,1,2,2,1,0,0,1,1,1,1,1,1,1,0,1,0,1,3,2,1,0,0,0,1,0,2,0,1,1,1,1,1,0,1,2,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,2,1,1,1,2,1,0,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,3,0,0,0,1,1,0,0,0,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 0,HWThread 10,HWThread 11,HWThread 12,HWThread 0,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 0,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 0,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 0,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 0,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 0,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 0,HWThread 56,HWThread 57,HWThread 58,HWThread 58909655,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 0,HWThread 66,HWThread 67,HWThread 0,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 0,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 0,HWThread 93,HWThread 94,HWThread 0,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 0,HWThread 111,HWThread 112,HWThread 113,HWThread 114,HWThread 115,HWThread 0,HWThread 117,HWThread 0,HWThread 119,HWThread 120,HWThread 0,HWThread 0,HWThread 0,HWThread 124,HWThread 125,HWThread 126,HWThread 127
ACTUAL_CPU_CLOCK,FIXC1,20399660000,14969010000,15897640000,14966690000,14508750000,14609250000,14306530000,14360010000,14844260000,0,15070540000,15068880000,28218830000,0,14859320000,0,0,14361020000,0,27626050000,14389030000,27954030000,14407610000,14429790000,0,1234602000,18563600000,12140130000,13034140000,13819630000,12948780000,56489680,0,14966870000,29868880000,31839010000,15605600000,0,0,14334470000,16116730000,15529530000,15666310000,14394520000,13632280000,15467900000,0,14846500000,0,13791200000,39662330000,36773320000,14398330000,0,0,0,14463270000,0,28002250000,0,13895170000,14589320000,14411390000,13964080000,18169250000,0,13642310000,29568540000,0,16050750000,4798730000,13816840000,14723550000,18019470000,0,14433320000,13855080000,14263800000,6278418000,0,13392730000,0,13896180000,12978020000,12538180000,12139200000,26648910000,18883050000,14178430000,13762710000,28678860000,12750020000,0,13167790000,12211150000,0,21972640000,420020500,12037220000,23438070000,12758320000,12347780000,10951080000,12045210000,18225310000,13289350000,11071500000,12850500000,13232410000,0,0,12494410000,8150004000,0,8322605000,51817700000,0,0,0,17081140000,21831710000,0,0,0,15013190000,10728100000,10945610000,5975500000
MAX_CPU_CLOCK,FIXC2,14806230000,10864120000,11538190000,10862450000,10530600000,10602950000,10383420000,10422190000,10774140000,0,10938390000,10936720000,20478990000,0,10784900000,0,0,10422870000,0,20051370000,10443730000,20289400000,10456830000,10473360000,0,896227100,13474110000,8811085000,9460824000,10028510000,9396513000,41013260,0,10863230000,21679040000,23108120000,11326570000,0,0,10403590000,11697870000,11271380000,11370980000,10447830000,9894273000,11226800000,0,10775800000,0,10009550000,28786820000,26689630000,10450240000,0,0,0,10497580000,0,20323990000,0,10085110000,10588840000,10459700000,10135150000,13186990000,0,9901463000,21461400000,0,11649820000,3483018000,10027930000,10686610000,13078350000,0,10475750000,10054450000,10353170000,4557303000,0,9720527000,0,10085630000,9419271000,9099534000,8810303000,19341070000,13705390000,10290240000,9989102000,20815480000,9254049000,0,9557374000,8863024000,0,15947450000,304967400,8736636000,17011430000,9259940000,8960169000,7948495000,8742408000,13228260000,9646302000,8035722000,9327049000,9604252000,0,0,9068696000,5915384000,0,6040691000,37608830000,0,0,0,12397500000,15845630000,0,0,0,10896700000,7786407000,7944585000,4337187000
RETIRED_INSTRUCTIONS,PMC0,181571900,293048100,358189800,252231800,259154900,264353700,255980400,238176400,254786600,0,266926500,255881300,534738900,0,272778900,0,0,250645600,0,475748000,251577500,492343100,249686300,277792300,0,237092100,0,202596000,222031800,233942200,234035600,1334164,0,285446700,510364400,637593900,321133800,0,0,246020900,354814900,307685200,355952200,244157100,236259200,280602300,0,240554500,0,241730700,667745100,471513400,268506600,0,0,0,300148600,0,522213100,0,224991600,279053400,250709200,240691500,450126300,0,230750100,483596400,0,187676300,45218170,232910900,231328800,230761500,0,236650200,233723300,212,103134700,0,226213100,0,235915600,205065200,213677500,194205600,6410,152536700,222931100,239359400,498353500,210238700,0,231126100,199319000,0,181399400,470256000,200338600,115130400,215349500,202132400,171451300,201215500,192134400,230301100,180539900,209643200,219290100,0,0,230613200,158082500,0,131375600,634664300,0,0,0,131765900,190997000,0,0,0,153009200,160405100,936,316693400
CPU_CLOCKS_UNHALTED,PMC1,104214200,224089700,207960900,179769700,157491500,213641500,157602900,159412100,167252700,0,203550700,163501500,377437100,0,180983900,0,0,147623300,0,312951900,167126700,388027400,168920500,176123400,0,132597700,0,161257500,148158800,138484400,155168900,1380588,0,222746100,331069200,407404400,230516100,0,0,168787700,217630700,199030400,232393600,181256700,162184600,162578800,0,161295900,0,141020700,505011700,292862900,183688000,0,0,0,215198700,0,402828200,0,175197100,168487700,167782400,163595100,291892400,0,177316000,342831900,0,114160100,26256130,141504900,158299500,141610400,0,136810300,158875600,2514,80574820,0,150588300,0,183117500,167430400,158422900,141948000,8278,95085680,151039100,180781100,337889100,147371500,0,147132700,120859300,0,130850100,177339300,141543500,93447680,153150200,124382600,126141600,126494400,138923200,161490200,153853900,149273200,138569700,0,0,164572900,122160500,0,99271750,548698200,0,0,0,128040400,118610200,0,0,0,100314000,102406400,12098,221262800
DRAM_READS_LOCAL_CHANNEL_0,DFC0,504986700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRAM_READS_LOCAL_CHANNEL_1,DFC1,481544600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRAM_READS_LOCAL_CHANNEL_2,DFC2,483426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
