STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,AMD EPYC 9754 128-Core Processor               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,AMD K19 (Zen4c) architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.249983983 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region RS_GATHER_ADD_POLY,Group 1 Raw,MEMREAD,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 0,HWThread 0,HWThread 3,HWThread 0,HWThread 5,HWThread 6,HWThread 7,HWThread 0,HWThread 9,HWThread 0,HWThread 11,HWThread 0,HWThread 13,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 18,HWThread 0,HWThread 0,HWThread 21,HWThread 22,HWThread 0,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 0,HWThread 0,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 0,HWThread 37,HWThread 38,HWThread 39,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 0,HWThread 0,HWThread 0,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 0,HWThread 57,HWThread 0,HWThread 59,HWThread 0,HWThread 61,HWThread 62,HWThread 63,HWThread 0,HWThread 0,HWThread 66,HWThread 67,HWThread 68,HWThread 0,HWThread 70,HWThread 71,HWThread 72,HWThread 0,HWThread 74,HWThread 75,HWThread 0,HWThread 77,HWThread 78,HWThread 79,HWThread 0,HWThread 0,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 0,HWThread 88,HWThread 0,HWThread 0,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 0,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 0,HWThread 0,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111,HWThread 0,HWThread 113,HWThread 114,HWThread 115,HWThread 0,HWThread 117,HWThread 0,HWThread 119,HWThread 120,HWThread 121,HWThread 122,HWThread 123,HWThread 124,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 129,HWThread 130,HWThread 131,HWThread 132,HWThread 133,HWThread 134,HWThread 135,HWThread 136,HWThread 137,HWThread 138,HWThread 139,HWThread 140,HWThread 141,HWThread 0,HWThread 143,HWThread 144,HWThread 145,HWThread 146,HWThread 0,HWThread 148,HWThread 149,HWThread 150,HWThread 151,HWThread 0,HWThread 153,HWThread 154,HWThread 155,HWThread 156,HWThread 157,HWThread 158,HWThread 159,HWThread 160,HWThread 0,HWThread 162,HWThread 163,HWThread 164,HWThread 165,HWThread 0,HWThread 0,HWThread 168,HWThread 169,HWThread 0,HWThread 171,HWThread 172,HWThread 173,HWThread 174,HWThread 175,HWThread 176,HWThread 0,HWThread 178,HWThread 179,HWThread 180,HWThread 181,HWThread 0,HWThread 183,HWThread 0,HWThread 185,HWThread 0,HWThread 187,HWThread 188,HWThread 189,HWThread 190,HWThread 191,HWThread 192,HWThread 193,HWThread 194,HWThread 195,HWThread 196,HWThread 197,HWThread 198,HWThread 199,HWThread 200,HWThread 201,HWThread 202,HWThread 0,HWThread 204,HWThread 205,HWThread 206,HWThread 207,HWThread 208,HWThread 209,HWThread 210,HWThread 211,HWThread 212,HWThread 213,HWThread 214,HWThread 215,HWThread 0,HWThread 217,HWThread 218,HWThread 219,HWThread 220,HWThread 221,HWThread 222,HWThread 0,HWThread 0,HWThread 225,HWThread 226,HWThread 227,HWThread 228,HWThread 229,HWThread 230,HWThread 231,HWThread 0,HWThread 0,HWThread 234,HWThread 235,HWThread 236,HWThread 237,HWThread 0,HWThread 239,HWThread 0,HWThread 0,HWThread 242,HWThread 243,HWThread 244,HWThread 245,HWThread 246,HWThread 247,HWThread 248,HWThread 249,HWThread 250,HWThread 251,HWThread 252,HWThread 253,HWThread 254,HWThread 255,
RDTSC Runtime [s],4.463777,0.000000,0.000000,4.462413,0.000000,4.464229,4.467239,2.338074,0.000000,0.023923,0.000000,4.464573,0.000000,4.452793,0.000000,0.000000,0.000000,0.000000,4.454936,0.000000,0.000000,2.362816,4.449796,0.000000,17.803460,2.368943,4.464492,4.450341,2.361234,2.349710,0.000000,0.000000,10.702410,4.729829,4.453954,2.366707,0.000000,4.733823,4.454709,0.000000,0.000000,0.000000,0.000000,0.000000,2.375998,4.452355,4.453176,0.000000,0.000000,0.000000,0.000000,4.752434,2.369178,2.376059,0.000000,0.000000,0.000000,4.460242,0.000000,4.454430,0.000000,4.452718,0.000000,0.000000,0.000000,0.000000,8.941161,4.463972,0.000000,0.000000,0.000000,2.373005,5.351173,0.000000,4.465407,5.351355,0.000000,4.469080,4.455841,4.455878,0.000000,0.000000,4.453031,8.939567,2.379573,4.452138,4.459063,0.000000,4.745619,0.000000,0.000000,4.461264,8.910195,5.338453,0.000000,13.384940,8.907078,0.000000,4.464297,4.450544,4.456085,2.138258,10.702440,4.450369,4.457330,0.000000,0.000000,8.925488,4.463882,4.459468,0.000000,4.454295,0.000000,2.371713,0.000000,4.465855,0.000000,2.375451,0.000000,4.460089,8.940622,3.378281,8.902299,4.458938,0.000000,0.000000,0.000000,0.000000,0.000000,4.461710,4.463190,0.000000,4.452202,4.465906,4.453877,2.374852,2.373678,2.373302,2.368335,2.374551,0.000000,0.000000,0.000000,3.379055,4.458093,0.000000,0.000000,0.000000,4.701815,2.360940,2.371684,4.453752,0.000000,4.462462,4.456117,4.459656,4.466488,4.737523,4.467963,4.737490,4.464067,0.000000,2.359627,2.358840,2.370660,4.468154,0.000000,0.000000,5.351055,4.456781,0.000000,4.450645,8.916109,2.354617,0.000000,0.000000,2.370408,0.000000,2.370235,0.000000,8.917171,2.370123,0.000000,4.469617,0.000000,5.338601,0.000000,4.465061,8.906488,4.461301,4.454856,4.464832,0.000000,2.358436,2.347288,4.461681,4.749459,2.374686,2.363122,2.363162,2.377549,4.463432,2.372028,0.000000,2.377314,0.000000,4.469929,2.368527,0.000000,4.457157,4.460722,0.000000,0.000000,2.364368,0.000000,0.000000,0.000000,4.450722,0.000000,4.461121,4.740931,4.450304,0.000000,0.000000,0.000000,4.470408,2.373665,4.470562,2.360427,0.000000,2.374795,0.000000,0.000000,0.000000,2.363352,4.466043,2.359947,2.368073,0.000000,1.059154,0.000000,0.000000,4.457238,8.913421,5.351157,8.911192,0.000000,0.000000,5.351394,4.462019,4.457554,4.457991,0.000000,0.000000,4.469122,3.175912,
call count,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,4,1,1,1,1,1,0,0,2,2,1,1,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,2,1,1,0,0,0,1,0,1,0,1,0,0,0,0,2,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,2,1,1,1,0,2,0,0,1,2,1,0,3,2,0,1,1,1,1,2,1,1,0,0,2,1,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,2,1,1,1,0,1,1,1,1,2,1,2,1,0,1,1,1,1,0,0,1,1,0,1,2,1,0,0,1,0,1,0,2,1,0,1,0,1,0,1,2,1,1,1,0,1,1,1,2,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,2,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,2,1,2,0,0,1,1,1,1,0,0,1,3,
Event,Counter,HWThread 0,HWThread 0,HWThread 0,HWThread 3,HWThread 0,HWThread 5,HWThread 6,HWThread 7,HWThread 0,HWThread 9,HWThread 0,HWThread 11,HWThread 0,HWThread 13,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 18,HWThread 0,HWThread 0,HWThread 21,HWThread 22,HWThread 0,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 0,HWThread 0,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 0,HWThread 37,HWThread 38,HWThread 39,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 0,HWThread 0,HWThread 0,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 0,HWThread 57,HWThread 0,HWThread 59,HWThread 0,HWThread 61,HWThread 62,HWThread 63,HWThread 0,HWThread 0,HWThread 66,HWThread 67,HWThread 68,HWThread 0,HWThread 70,HWThread 71,HWThread 72,HWThread 0,HWThread 74,HWThread 75,HWThread 0,HWThread 77,HWThread 78,HWThread 79,HWThread 0,HWThread 0,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 0,HWThread 88,HWThread 0,HWThread 0,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 0,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 0,HWThread 0,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111,HWThread 0,HWThread 113,HWThread 114,HWThread 115,HWThread 0,HWThread 117,HWThread 0,HWThread 119,HWThread 120,HWThread 121,HWThread 122,HWThread 123,HWThread 124,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 129,HWThread 130,HWThread 131,HWThread 132,HWThread 133,HWThread 134,HWThread 135,HWThread 136,HWThread 137,HWThread 138,HWThread 139,HWThread 140,HWThread 141,HWThread 0,HWThread 143,HWThread 144,HWThread 145,HWThread 146,HWThread 0,HWThread 148,HWThread 149,HWThread 150,HWThread 151,HWThread 0,HWThread 153,HWThread 154,HWThread 155,HWThread 156,HWThread 157,HWThread 158,HWThread 159,HWThread 160,HWThread 0,HWThread 162,HWThread 163,HWThread 164,HWThread 165,HWThread 0,HWThread 0,HWThread 168,HWThread 169,HWThread 0,HWThread 171,HWThread 172,HWThread 173,HWThread 174,HWThread 175,HWThread 176,HWThread 0,HWThread 178,HWThread 179,HWThread 180,HWThread 181,HWThread 0,HWThread 183,HWThread 0,HWThread 185,HWThread 0,HWThread 187,HWThread 188,HWThread 189,HWThread 190,HWThread 191,HWThread 192,HWThread 193,HWThread 194,HWThread 195,HWThread 196,HWThread 197,HWThread 198,HWThread 199,HWThread 200,HWThread 201,HWThread 202,HWThread 0,HWThread 204,HWThread 205,HWThread 206,HWThread 207,HWThread 208,HWThread 209,HWThread 210,HWThread 211,HWThread 212,HWThread 213,HWThread 214,HWThread 215,HWThread 0,HWThread 217,HWThread 218,HWThread 219,HWThread 220,HWThread 221,HWThread 222,HWThread 0,HWThread 0,HWThread 225,HWThread 226,HWThread 227,HWThread 228,HWThread 229,HWThread 230,HWThread 231,HWThread 0,HWThread 0,HWThread 234,HWThread 235,HWThread 236,HWThread 237,HWThread 0,HWThread 239,HWThread 0,HWThread 0,HWThread 242,HWThread 243,HWThread 244,HWThread 245,HWThread 246,HWThread 247,HWThread 248,HWThread 249,HWThread 250,HWThread 251,HWThread 252,HWThread 253,HWThread 254,HWThread 255
ACTUAL_CPU_CLOCK,FIXC1,4345034000,0,0,4543967000,0,5051998000,4817851000,2615972000,0,76925500,0,4575585000,0,5030358000,0,0,0,0,4773994000,0,0,2089830000,4562586000,0,16655810000,1956164000,4929379000,5012116000,2003221000,1203161000,0,0,8196318000,3179246000,3183552000,1984157000,0,2367802000,2232404000,0,0,0,0,0,781453100,3144178000,2978367000,0,0,0,0,706196500,1161381000,799639300,0,0,0,3429273000,0,3175100000,0,2742614000,0,0,0,0,6285024000,2891822000,0,0,0,1159835000,4706924000,0,3402796000,2583965000,0,2481350000,3198179000,3187220000,0,0,2562589000,4956357000,29288240,2360165000,1622187000,0,1193689000,0,0,2867133000,5005389000,2627395000,0,6595185000,6965259000,0,3059038000,3364491000,3449621000,798122800,5854386000,2031623000,3288331000,0,0,3867414000,2733511000,1219180000,0,1574975000,0,795232000,0,2683276000,0,385132300,0,3542916000,5907534000,3561945000,6688268000,1835313000,0,0,0,0,0,3262050000,3527141000,0,2600423000,3192732000,3282063000,1583980000,2012157000,893362400,1291128000,1172804000,0,0,0,1391290000,4494753000,0,0,0,1397379000,805899500,781585800,1753296000,0,2091442000,3889785000,2767200000,2160192000,1590264000,3504710000,784727200,3313786000,0,1188577000,819098500,775025100,3160298000,0,0,3415349000,3717592000,0,2180696000,4396531000,1554807000,0,0,1543120000,0,8696008,0,4184193000,769445200,0,2823860000,0,3553873000,0,800004700,6351748000,1262435000,836402200,894035200,0,1209603000,777772600,2640433000,3119682000,1194083000,818199300,2098654000,1960146000,2427664000,1564144000,0,788186900,0,1660016000,753239900,0,3486268000,2420894000,0,0,1577322000,0,0,0,2751572000,0,2167747000,2342557000,1817773000,0,0,0,3616917000,772151300,2398771000,805501500,0,774776300,0,0,0,1323434000,3523065000,1194139000,1741467000,0,752525600,0,0,1981837000,4490381000,1506562000,2938251000,0,0,3682701000,2819879000,2749188000,2989227000,0,0,1493370000,2258017000
MAX_CPU_CLOCK,FIXC2,3153826000,0,0,3298179000,0,3666791000,3496862000,1898743000,0,56318940,0,3321300000,0,3651218000,0,0,0,0,3464957000,0,0,1517275000,3311418000,0,12089330000,1420263000,3577794000,3637727000,1453986000,873044800,0,0,5946700000,2307754000,2310983000,1440619000,0,1718776000,1620285000,0,0,0,0,0,567145000,2282394000,2161692000,0,0,0,0,512563100,843397800,580542200,0,0,0,2489201000,0,2304568000,0,1990739000,0,0,0,0,4562302000,2099102000,0,0,0,842087100,3416219000,0,2470225000,1875857000,0,1801400000,2321643000,2313328000,0,0,1860073000,3597615000,21095980,1713301000,1177659000,0,866707000,0,0,2081031000,3631903000,1907019000,0,4786945000,5055382000,0,2220509000,2441915000,2503581000,579506500,4248441000,1474854000,2387135000,0,0,2807204000,1984448000,884918600,0,1143064000,0,577425900,0,1947635000,0,279549400,0,2571929000,4288294000,2585292000,4854624000,1332055000,0,0,0,0,0,2368009000,2560075000,0,1887419000,2317313000,2382469000,1150078000,1460707000,648682600,937278800,851452400,0,0,0,1009988000,3262717000,0,0,0,1014710000,585039300,567409500,1272635000,0,1518399000,2823214000,2008483000,1568021000,1157966000,2543795000,570022700,2405469000,0,862986600,594899800,562394100,2293898000,0,0,2478372000,2698148000,0,1582712000,3191132000,1128394000,0,0,1120233000,0,6297047,0,3037039000,558369800,0,2049647000,0,2579537000,0,581264900,4609731000,916655600,607161500,649147200,0,878360200,564548000,1916464000,2265073000,867103800,593733600,1523427000,1423069000,1762256000,1135241000,0,572099000,0,1205160000,546766500,0,2530621000,1757316000,0,0,1145048000,0,0,0,1997562000,0,1573454000,1700165000,1319585000,0,0,0,2625216000,561042400,1741241000,585000700,0,562529300,0,0,0,960583100,2557501000,867087300,1264414000,0,546178200,0,0,1438535000,3259398000,1093438000,2132789000,0,0,2672907000,2046759000,1995353000,2170018000,0,0,1083987000,1638631000
RETIRED_INSTRUCTIONS,PMC0,162280400,0,0,308727400,0,165430900,255773300,147310400,0,125859000,0,170583900,0,252562100,0,0,0,0,271289700,0,0,131993600,260510000,0,1019039000,121200200,180979300,280999500,142119100,0,0,0,512270800,3258,116758300,103433500,0,47795360,98354650,0,0,0,0,0,15509880,109171300,109859600,0,0,0,0,129972900,22876130,14236000,0,0,0,146723800,0,127931900,0,107098900,0,0,0,0,232341500,99152370,0,0,0,43788600,259781600,0,190448300,260874900,0,49908100,127397000,121379600,0,0,114897000,187347200,1910010,66682460,25083900,0,82396720,0,0,99811620,221281900,121209400,0,288333000,337646300,0,159731600,132604200,132927800,20839820,173734400,125551300,116278900,0,0,182038600,131927800,77892880,0,47695140,0,13071490,0,181134900,0,4662257,0,184480900,374659300,110234700,397529800,31692150,0,0,0,0,0,178052300,163563400,0,152243300,69723390,152767800,47045360,101640200,16721610,117953500,22910060,0,0,0,83860500,273424400,0,0,0,23914940,12763120,13022520,142040100,0,100567100,200473100,130109200,178973700,37015080,124038700,9338292,112512100,0,24192700,15019130,13066080,141714900,0,0,217571700,340680500,0,59180320,184298400,36995400,0,0,32769280,0,7157,0,97994590,12522620,0,105551700,0,237612700,0,13963420,362719400,37152320,12353700,13592810,0,28505290,13866540,99339280,76273620,26853260,13982030,106080600,93000540,38428310,33093890,0,12630610,0,33610330,12574780,0,192445200,104998000,0,0,111917400,0,0,0,145787600,0,34446090,42339610,90562300,0,0,0,115236600,11936360,75005730,12751100,0,11816130,0,0,0,67282000,136540800,12539,110624200,0,127972400,0,0,28737870,120635800,39593240,155917200,0,0,143567200,58130850,70212250,122295200,0,0,108463600,387789300
CPU_CLOCKS_UNHALTED,PMC1,106204900,0,0,199131500,0,88622860,142622400,116519200,0,39014970,0,102864300,0,140563200,0,0,0,0,164363700,0,0,76627420,153835000,0,590113800,78254620,102612200,172498100,95778780,0,0,0,339259300,10906,74304400,86126130,0,25584190,69752240,0,0,0,0,0,7693579,55025200,66026370,0,0,0,0,86027770,14989050,9549317,0,0,0,93397960,0,85009010,0,67544690,0,0,0,0,133487200,67777120,0,0,0,24043320,159455100,0,129825800,155667400,0,25335700,81100040,84708400,0,0,69446650,126283300,18215330,31483510,11972580,0,79201820,0,0,59623140,141174400,82921960,0,179999800,214123700,0,99463520,87130310,84566090,33147660,91998950,64404630,73400530,0,0,132961600,81487880,53805410,0,23078300,0,8121462,0,120049800,0,2947842,0,120994000,256894600,66415980,262626100,16982100,0,0,0,0,0,99619540,102320800,0,116229400,59630640,102212500,28759460,68133400,9451717,79277920,12422440,0,0,0,53663980,179584700,0,0,0,11717010,8868910,9009554,86316220,0,64355120,128805000,85529580,125309900,17952070,82962940,4698731,54832520,0,13560810,7832632,5996237,109658100,0,0,134013700,211935000,0,27726380,155446500,23407950,0,0,17161760,0,33689,0,55073330,9507234,0,76098350,0,147682000,0,7424572,253489200,20865100,5885383,6765911,0,36392000,6795322,64433240,66979900,15383420,9642276,85008370,89805400,43375500,20197590,0,7817750,0,42516200,7152771,0,142068700,73393290,0,0,75128010,0,0,0,105688200,0,18837730,24967540,64959140,0,0,0,85731290,7724703,48097370,6354104,0,6328230,0,0,0,33109190,123272900,3247,89588550,0,92240030,0,0,18804240,120860800,22360880,129936000,0,0,80670700,35194580,50380300,81674150,0,0,92327340,310823100
DRAM_READS_LOCAL_CHANNEL_0,DFC0,85438870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRAM_READS_LOCAL_CHANNEL_1,DFC1,83687140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRAM_READS_LOCAL_CHANNEL_2,DFC2,84578160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
