STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,AMD EPYC 9754 128-Core Processor               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,AMD K19 (Zen4c) architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.249982723 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region RS_GATHER_ADD_POLY,Group 1 Raw,MEMWRITE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 4,HWThread 0,HWThread 6,HWThread 7,HWThread 8,HWThread 0,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 0,HWThread 0,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 0,HWThread 34,HWThread 0,HWThread 36,HWThread 37,HWThread 0,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 0,HWThread 51,HWThread 52,HWThread 0,HWThread 54,HWThread 0,HWThread 56,HWThread 57,HWThread 58,HWThread 0,HWThread 60,HWThread 61,HWThread 0,HWThread 63,HWThread 0,HWThread 0,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 0,HWThread 77,HWThread 78,HWThread 0,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 0,HWThread 87,HWThread 88,HWThread 0,HWThread 90,HWThread 91,HWThread 92,HWThread 0,HWThread 94,HWThread 95,HWThread 0,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 0,HWThread 110,HWThread 111,HWThread 112,HWThread 113,HWThread 114,HWThread 0,HWThread 116,HWThread 117,HWThread 118,HWThread 119,HWThread 120,HWThread 0,HWThread 122,HWThread 123,HWThread 124,HWThread 125,HWThread 0,HWThread 127,HWThread 0,HWThread 129,HWThread 130,HWThread 131,HWThread 0,HWThread 133,HWThread 0,HWThread 135,HWThread 136,HWThread 137,HWThread 138,HWThread 0,HWThread 140,HWThread 141,HWThread 0,HWThread 143,HWThread 144,HWThread 145,HWThread 146,HWThread 147,HWThread 148,HWThread 149,HWThread 0,HWThread 151,HWThread 152,HWThread 0,HWThread 154,HWThread 155,HWThread 156,HWThread 157,HWThread 158,HWThread 0,HWThread 160,HWThread 161,HWThread 0,HWThread 163,HWThread 164,HWThread 165,HWThread 166,HWThread 167,HWThread 168,HWThread 169,HWThread 170,HWThread 0,HWThread 172,HWThread 173,HWThread 174,HWThread 0,HWThread 176,HWThread 177,HWThread 178,HWThread 179,HWThread 180,HWThread 181,HWThread 182,HWThread 0,HWThread 184,HWThread 185,HWThread 0,HWThread 187,HWThread 188,HWThread 189,HWThread 0,HWThread 191,HWThread 192,HWThread 0,HWThread 0,HWThread 195,HWThread 196,HWThread 197,HWThread 198,HWThread 199,HWThread 200,HWThread 0,HWThread 202,HWThread 0,HWThread 0,HWThread 205,HWThread 206,HWThread 0,HWThread 208,HWThread 0,HWThread 210,HWThread 0,HWThread 212,HWThread 213,HWThread 214,HWThread 215,HWThread 216,HWThread 217,HWThread 0,HWThread 219,HWThread 220,HWThread 221,HWThread 222,HWThread 223,HWThread 224,HWThread 225,HWThread 226,HWThread 0,HWThread 228,HWThread 0,HWThread 230,HWThread 231,HWThread 232,HWThread 0,HWThread 234,HWThread 235,HWThread 236,HWThread 237,HWThread 238,HWThread 0,HWThread 240,HWThread 241,HWThread 242,HWThread 243,HWThread 244,HWThread 0,HWThread 246,HWThread 247,HWThread 248,HWThread 249,HWThread 250,HWThread 251,HWThread 252,HWThread 253,HWThread 254,HWThread 255,
RDTSC Runtime [s],4.613708,0.000000,0.000000,0.000000,9.229254,0.000000,4.613331,13.844330,0.000000,0.000000,4.615354,0.000000,13.845180,4.613785,13.842490,0.000000,0.000000,4.615943,4.614180,4.613826,4.614583,7.990944,4.614411,0.000000,0.000000,0.000000,0.000000,4.613841,3.991259,4.615202,7.774069,3.886621,9.227861,0.000000,4.613899,0.000000,8.004375,9.228602,0.000000,0.000000,4.003249,7.778632,0.000000,3.889915,4.005270,8.008602,4.005668,7.778236,0.000000,8.009612,0.000000,4.004297,4.003405,0.000000,4.005211,0.000000,4.003149,4.005094,4.004212,0.000000,8.004028,8.007107,0.000000,8.005543,0.000000,0.000000,4.003091,4.003589,0.000000,4.002204,4.004168,4.004316,4.004934,4.002460,4.003512,8.005835,0.000000,0.000000,8.007033,0.000000,8.006158,4.004302,4.002300,4.002229,4.004153,4.004493,0.000000,0.000000,7.980266,0.000000,4.001501,4.002459,4.003739,0.000000,4.001991,4.003725,0.000000,8.007589,0.000000,3.884523,3.891378,4.003521,4.002056,4.002227,0.000000,0.000000,3.999853,4.001394,0.000000,0.000000,3.999795,8.002582,8.003006,8.002980,7.999898,0.000000,0.000000,8.002790,3.987039,4.001387,4.001466,0.000000,0.000000,4.001348,4.001212,4.001496,0.000000,4.000031,0.000000,3.997152,7.978447,3.999977,0.000000,0.000000,0.000000,3.986179,0.000000,3.986131,3.999799,0.000000,4.001455,0.000000,0.000000,0.000000,0.000000,4.001458,0.000000,0.000000,0.000000,3.999922,0.000000,4.001242,4.001251,0.000000,12.003690,7.996793,0.000000,0.000000,3.999919,0.000000,4.000325,4.001451,0.000000,0.000000,0.000000,4.001389,0.000000,0.000000,4.001757,11.633490,0.000000,0.000000,3.887854,3.887399,2.655181,0.000000,4.614951,4.614628,9.230380,4.614013,0.000000,0.000000,4.614704,0.000000,4.614921,4.613062,0.000000,4.615974,0.000000,4.613164,0.000000,4.613650,4.613811,0.000000,0.000000,0.000000,7.771871,2.788502,4.613733,0.000000,9.230013,0.000000,4.614919,0.000000,0.000000,9.228108,0.000000,0.000000,4.613717,0.000000,0.000000,0.000000,9.228611,4.001216,4.614879,0.000000,9.229823,4.614750,0.000000,0.000000,3.888928,0.000000,0.000000,4.001317,3.890985,13.842970,3.890717,0.000000,3.887793,0.000000,0.000000,0.000000,4.002337,0.000000,0.000000,8.002792,4.001912,0.000000,4.001864,0.000000,4.614407,4.614227,0.000000,4.614098,4.614693,0.000000,4.614067,4.613986,0.024063,0.000000,4.614698,4.616204,4.002046,3.884588,9.229484,3.883466,
call count,1,0,0,0,2,0,1,3,0,0,1,0,3,1,3,0,0,1,1,1,1,2,1,0,0,0,0,1,1,1,2,1,2,0,1,0,2,2,0,0,1,2,0,1,1,2,1,2,0,2,0,1,1,0,1,0,1,1,1,0,2,2,0,2,0,0,1,1,0,1,1,1,1,1,1,2,0,0,2,0,2,1,1,1,1,1,0,0,2,0,1,1,1,0,1,1,0,2,0,1,1,1,1,1,0,0,1,1,0,0,1,2,2,2,2,0,0,2,1,1,1,0,0,1,1,1,0,1,0,1,2,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,3,2,0,0,1,0,1,1,0,0,0,1,0,0,1,3,0,0,1,1,1,0,1,1,2,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,2,1,1,0,2,0,1,0,0,2,0,0,1,0,0,0,2,1,1,0,2,1,0,0,1,0,0,1,1,3,1,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,2,1,
Event,Counter,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 4,HWThread 0,HWThread 6,HWThread 7,HWThread 8,HWThread 0,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 0,HWThread 0,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 0,HWThread 34,HWThread 0,HWThread 36,HWThread 37,HWThread 0,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 0,HWThread 51,HWThread 52,HWThread 0,HWThread 54,HWThread 0,HWThread 56,HWThread 57,HWThread 58,HWThread 0,HWThread 60,HWThread 61,HWThread 0,HWThread 63,HWThread 0,HWThread 0,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 0,HWThread 77,HWThread 78,HWThread 0,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 0,HWThread 87,HWThread 88,HWThread 0,HWThread 90,HWThread 91,HWThread 92,HWThread 0,HWThread 94,HWThread 95,HWThread 0,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 0,HWThread 110,HWThread 111,HWThread 112,HWThread 113,HWThread 114,HWThread 0,HWThread 116,HWThread 117,HWThread 118,HWThread 119,HWThread 120,HWThread 0,HWThread 122,HWThread 123,HWThread 124,HWThread 125,HWThread 0,HWThread 127,HWThread 0,HWThread 129,HWThread 130,HWThread 131,HWThread 0,HWThread 133,HWThread 0,HWThread 135,HWThread 136,HWThread 137,HWThread 138,HWThread 0,HWThread 140,HWThread 141,HWThread 0,HWThread 143,HWThread 144,HWThread 145,HWThread 146,HWThread 147,HWThread 148,HWThread 149,HWThread 0,HWThread 151,HWThread 152,HWThread 0,HWThread 154,HWThread 155,HWThread 156,HWThread 157,HWThread 158,HWThread 0,HWThread 160,HWThread 161,HWThread 0,HWThread 163,HWThread 164,HWThread 165,HWThread 166,HWThread 167,HWThread 168,HWThread 169,HWThread 170,HWThread 0,HWThread 172,HWThread 173,HWThread 174,HWThread 0,HWThread 176,HWThread 177,HWThread 178,HWThread 179,HWThread 180,HWThread 181,HWThread 182,HWThread 0,HWThread 184,HWThread 185,HWThread 0,HWThread 187,HWThread 188,HWThread 189,HWThread 0,HWThread 191,HWThread 192,HWThread 0,HWThread 0,HWThread 195,HWThread 196,HWThread 197,HWThread 198,HWThread 199,HWThread 200,HWThread 0,HWThread 202,HWThread 0,HWThread 0,HWThread 205,HWThread 206,HWThread 0,HWThread 208,HWThread 0,HWThread 210,HWThread 0,HWThread 212,HWThread 213,HWThread 214,HWThread 215,HWThread 216,HWThread 217,HWThread 0,HWThread 219,HWThread 220,HWThread 221,HWThread 222,HWThread 223,HWThread 224,HWThread 225,HWThread 226,HWThread 0,HWThread 228,HWThread 0,HWThread 230,HWThread 231,HWThread 232,HWThread 0,HWThread 234,HWThread 235,HWThread 236,HWThread 237,HWThread 238,HWThread 0,HWThread 240,HWThread 241,HWThread 242,HWThread 243,HWThread 244,HWThread 0,HWThread 246,HWThread 247,HWThread 248,HWThread 249,HWThread 250,HWThread 251,HWThread 252,HWThread 253,HWThread 254,HWThread 255
ACTUAL_CPU_CLOCK,FIXC1,2705545000,0,0,0,5833034000,0,3113057000,8392971000,0,0,2445013000,0,7585175000,2315884000,7305663000,0,0,2640280000,2597559000,2238377000,2306345000,5201290000,2741000000,0,0,0,0,3310475000,3188292000,2409714000,4600263000,2807576000,5833610000,0,2465466000,0,5812902000,3937650000,0,0,2501614000,4181772000,0,2483792000,2691221000,6172296000,2907969000,4641906000,0,4990365000,0,2984435000,2835231000,0,2552590000,0,3105619000,2473400000,2517414000,0,5179773000,5299485000,0,2925358000,0,0,2196016000,2844641000,0,2468096000,2326033000,2641526000,2852092000,2992957000,2926757000,5729685000,0,0,6057568000,0,4641594000,2628902000,2469025000,2442736000,2589364000,2769016000,0,0,6357433000,0,2768392000,3012947000,2591392000,0,2446233000,1857258000,0,5846726000,0,1689529000,2364965000,2203305000,2402882000,2553793000,0,0,2023100000,2104308000,0,0,2342275000,4979046000,5406365000,5556592000,5394178000,0,0,4034036000,2458972000,1847352000,2606490000,0,0,2141812000,2322195000,2308047000,0,2307624000,0,1505897000,4322694000,1542887000,0,0,0,1599440000,0,1466098000,1173931000,0,1184250000,0,0,0,0,1308949000,0,0,0,2069437000,0,651147800,2405158000,0,4723882000,2402621000,0,0,587373000,0,1716059000,2063962000,0,0,0,713867700,0,0,2022741000,3767218000,0,0,1287050000,1821791000,742758100,0,1683099000,1652260000,2701330000,1170639000,0,0,672591800,0,1923889000,1291231000,0,4793151000,0,1060201000,0,628251400,1352981000,0,0,0,2926284000,518168000,1388206000,0,3475628000,0,708492900,0,0,2100739000,0,0,2011409000,0,0,0,778568400,1028302000,293729700,0,5762638000,945440100,0,0,1546802000,0,0,1465858000,4136521000,5134521000,1172589000,0,803080000,0,0,0,763034900,0,0,904327400,1601041000,0,821595800,0,1919018000,1658153000,0,654130400,310979100,0,302757900,320996700,75602730,0,300115100,765693900,1461386000,932388100,9399950000,380808000
MAX_CPU_CLOCK,FIXC2,1963642000,0,0,0,4233611000,0,2258899000,6091490000,0,0,1775030000,0,5507226000,1681102000,5301893000,0,0,1916164000,1885496000,1624556000,1673957000,3775508000,1989220000,0,0,0,0,2402703000,2314413000,1748992000,3339108000,2037666000,4234524000,0,1789233000,0,4217880000,2858395000,0,0,1815823000,3035500000,0,1803187000,1953221000,4480625000,2110446000,3369751000,0,3623197000,0,2166359000,2057769000,0,1852529000,0,2254096000,1795029000,1826943000,0,3759611000,3847222000,0,2136425000,0,0,1593979000,2064578000,0,1791543000,1688120000,1917430000,2070266000,2172794000,2124158000,4159053000,0,0,4397264000,0,3368533000,1907973000,1791717000,1773061000,1878560000,2009506000,0,0,4614233000,0,2009334000,2186389000,1880875000,0,1775487000,1348469000,0,4243187000,0,1226727000,1716834000,1599201000,1744168000,1853885000,0,0,1467034000,1527678000,0,0,1700182000,3610522000,3921154000,4033315000,3915536000,0,0,2927183000,1784513000,1338848000,1889086000,0,0,1554733000,1684336000,1675158000,0,1674895000,0,1091226000,3146076000,1119688000,0,0,0,1160159000,0,1062346000,852080300,0,859467500,0,0,0,0,949810400,0,0,0,1501845000,0,472312900,1745512000,0,3428347000,1743570000,0,0,426403500,0,1245748000,1498419000,0,0,0,518088000,0,0,1467515000,2733712000,0,0,934393500,1322433000,539234300,0,1221507000,1199121000,1961349000,849869400,0,0,488183300,0,1396530000,937431300,0,3478818000,0,769542100,0,455820500,982313800,0,0,0,2124808000,376117300,1007247000,0,2521984000,0,514724300,0,0,1525442000,0,0,1459836000,0,0,0,565610900,746237700,213474600,0,4182817000,686170400,0,0,1122713000,0,0,1063652000,3002590000,3727052000,851705800,0,583284800,0,0,0,552325200,0,0,655576100,1161950000,0,596074100,0,1393477000,1203796000,0,474473400,225655700,0,219840300,232956200,54824960,0,217710800,555723600,1060302000,676755300,6822503000,276413900
RETIRED_INSTRUCTIONS,PMC0,298513100,0,0,0,555662300,0,286121000,305586900,0,0,232656000,0,1001026000,336106000,217744900,0,0,224634500,231829600,159898400,379897100,377034,274441300,0,0,0,0,223767300,359971,328678900,232928700,85259990,723488200,0,183179,0,241284500,463302200,0,0,248231700,329154000,0,41619320,230414400,190641200,90982990,190844100,0,363886600,0,215982900,927,0,195909400,0,112258500,33162310,149634400,0,184771500,395034000,0,457637400,0,0,35378240,149235300,0,192242600,94133040,57564450,105438400,74162180,874,729993800,0,0,216416200,0,475147400,146459900,227969700,52788860,235318800,105922300,0,0,797142,0,202111500,168969000,35037800,0,67798570,77456580,0,277566500,0,164237600,92034820,159902400,192808600,104028000,0,0,199512400,246216800,0,0,60413780,259440900,145026500,158430200,350118800,0,0,279409600,88379710,100872900,63570690,0,0,87505590,170994000,93261400,0,52032520,0,79728690,131180500,581,0,0,0,173935200,0,122719900,228,0,13142920,0,0,0,0,477,0,0,0,158106900,0,7071232,146135700,0,215099400,49160,0,0,6383845,0,177125000,42132490,0,0,0,7683344,0,0,41626440,18435,0,0,15743590,26217160,127966800,0,203693000,322653800,491001500,137864600,0,0,191717000,0,249186500,0,0,138909400,0,136108300,0,127963200,140583800,0,0,0,61570920,7809046,790,0,193197200,0,131614300,0,0,273105200,0,0,201115100,0,0,0,301860200,178206,127964300,0,544005200,193140400,0,0,201866100,0,0,11940500,58780580,201324200,73296930,0,9988128,0,0,0,8328418,0,0,15491700,126596600,0,7943643,0,178700200,253369000,0,127999600,127970000,0,127967400,127968900,875,0,128630100,257396900,126073600,15974210,395274400,3540203
CPU_CLOCKS_UNHALTED,PMC1,164201400,0,0,0,375759200,0,171102800,273237800,0,0,151592600,0,628381000,205827900,231270900,0,0,109779700,115437700,83529740,216411100,0,169504600,0,0,0,0,129490600,2496,189509000,159290900,40709680,434806200,0,47450,0,103968900,245902600,0,0,180452300,175342700,0,23278520,142194400,83520300,45471720,130662600,0,227785700,0,131236800,0,0,125866300,0,54163430,16488400,96060840,0,127128100,269003700,0,290440200,0,0,52599160,88312120,0,118903100,42251850,26213100,67028840,48163240,3527,380142900,0,0,138454900,0,310617000,61872100,148813900,32629680,144661500,49247620,0,0,5816,0,139026800,97566570,22220310,0,36247060,82840250,0,213472500,0,95817390,63979830,89362220,108682900,75796280,0,0,124590200,160900400,0,0,33532620,113728800,113335700,124234500,287992300,0,0,222428900,49596950,86549370,35740190,0,0,85629340,113339200,45714620,0,27200950,0,53683930,89486150,4170,0,0,0,94702450,0,83226870,2617,0,6714624,0,0,0,0,6599,0,0,0,113882400,0,4904461,97476950,0,204677400,5834,0,0,3888173,0,132679900,24483470,0,0,0,4937785,0,0,45498600,0,0,0,11332290,16210560,80086760,0,137093200,208596900,319356400,79056070,0,0,101542200,0,140346300,0,0,75141250,0,76487770,0,79021420,71993020,0,0,0,45187550,4960692,3613,0,132237200,0,77256170,0,0,165637400,0,0,142306700,0,0,0,230620000,43374,66583950,0,308996200,131958300,0,0,131757400,0,0,6709828,56700540,94944170,64455480,0,7155319,0,0,0,19504000,0,0,66041240,95550260,0,5477655,0,108117200,160688200,0,82602180,68102660,0,65950820,75718050,4231,0,70777640,106616400,45114990,9848953,222939800,1903647
DRAM_WRITES_LOCAL_CHANNEL_0,DFC0,16062370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRAM_WRITES_LOCAL_CHANNEL_1,DFC1,16076480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRAM_WRITES_LOCAL_CHANNEL_2,DFC2,16072150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
