STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,AMD EPYC 9754 128-Core Processor               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,AMD K19 (Zen4c) architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.249958923 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region RS_SEQ_ADD,Group 1 Raw,MEMREAD,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,
RDTSC Runtime [s],124.659900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
call count,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Event,Counter,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,1009222000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAX_CPU_CLOCK,FIXC2,732583600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RETIRED_INSTRUCTIONS,PMC0,336709400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPU_CLOCKS_UNHALTED,PMC1,729203600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRAM_READS_LOCAL_CHANNEL_0,DFC0,470751300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRAM_READS_LOCAL_CHANNEL_1,DFC1,468699500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRAM_READS_LOCAL_CHANNEL_2,DFC2,469604500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
