STRUCT,Info,3,,,
CPU name:,AMD EPYC 9754 128-Core Processor               ,,,,
CPU type:,AMD K19 (Zen4c) architecture,,,,
CPU clock:,2.24997431 GHz,,,,
TABLE,Region RS_SEQ_ADD,Group 1 Raw,MEMREAD,16,
Region Info,HWThread 0,HWThread 0,HWThread 0,HWThread 0,
RDTSC Runtime [s],40.099770,0.000000,0.000000,0.000000,
call count,3,0,0,0,
Event,Counter,HWThread 0,HWThread 0,HWThread 0,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,124375700000,0,0,0
MAX_CPU_CLOCK,FIXC2,90272660000,0,0,0
RETIRED_INSTRUCTIONS,PMC0,96573250000,0,0,0
CPU_CLOCKS_UNHALTED,PMC1,55905330000,0,0,0
DRAM_READS_LOCAL_CHANNEL_0,DFC0,1029471000,0,0,0
DRAM_READS_LOCAL_CHANNEL_1,DFC1,1028573000,0,0,0
DRAM_READS_LOCAL_CHANNEL_2,DFC2,1029042000,0,0,0
DRAM_READS_LOCAL_CHANNEL_3,DFC3,1877526,0,0,0
DRAM_READS_LOCAL_CHANNEL_4,DFC4,1876851,0,0,0
DRAM_READS_LOCAL_CHANNEL_5,DFC5,1867786,0,0,0
DRAM_READS_LOCAL_CHANNEL_6,DFC6,2189758,0,0,0
DRAM_READS_LOCAL_CHANNEL_7,DFC7,2155274,0,0,0
DRAM_READS_LOCAL_CHANNEL_8,DFC8,2270269,0,0,0
DRAM_READS_LOCAL_CHANNEL_9,DFC9,4748218,0,0,0
DRAM_READS_LOCAL_CHANNEL_10,DFC10,4820014,0,0,0
DRAM_READS_LOCAL_CHANNEL_11,DFC11,4111646,0,0,0
TABLE,Region RS_SEQ_ADD,Group 1 Raw STAT,MEMREAD,16,
Event,Counter,Sum,Min,Max,Avg
ACTUAL_CPU_CLOCK STAT,FIXC1,124375700000,0,124375700000,31093925000
MAX_CPU_CLOCK STAT,FIXC2,90272660000,0,90272660000,22568165000
RETIRED_INSTRUCTIONS STAT,PMC0,96573250000,0,96573250000,24143312500
CPU_CLOCKS_UNHALTED STAT,PMC1,55905330000,0,55905330000,13976332500
DRAM_READS_LOCAL_CHANNEL_0 STAT,DFC0,1029471000,0,1029471000,257367750
DRAM_READS_LOCAL_CHANNEL_1 STAT,DFC1,1028573000,0,1028573000,257143250
DRAM_READS_LOCAL_CHANNEL_2 STAT,DFC2,1029042000,0,1029042000,257260500
DRAM_READS_LOCAL_CHANNEL_3 STAT,DFC3,1877526,0,1877526,469381.5000
DRAM_READS_LOCAL_CHANNEL_4 STAT,DFC4,1876851,0,1876851,469212.7500
DRAM_READS_LOCAL_CHANNEL_5 STAT,DFC5,1867786,0,1867786,466946.5000
DRAM_READS_LOCAL_CHANNEL_6 STAT,DFC6,2189758,0,2189758,547439.5000
DRAM_READS_LOCAL_CHANNEL_7 STAT,DFC7,2155274,0,2155274,538818.5000
DRAM_READS_LOCAL_CHANNEL_8 STAT,DFC8,2270269,0,2270269,567567.2500
DRAM_READS_LOCAL_CHANNEL_9 STAT,DFC9,4748218,0,4748218,1.187054e+06
DRAM_READS_LOCAL_CHANNEL_10 STAT,DFC10,4820014,0,4820014,1.205004e+06
DRAM_READS_LOCAL_CHANNEL_11 STAT,DFC11,4111646,0,4111646,1.027912e+06
TABLE,Region RS_SEQ_ADD,Group 1 Metric,MEMREAD,6,
Metric,HWThread 0,HWThread 0,HWThread 0,HWThread 0,
Runtime (RDTSC) [s],40.0998,0,0,0,
Runtime unhalted [s],55.2787,0,0,0,
Clock [MHz],3099.9655,0,0,0,
CPI,0.5789,0,0,0,
Memory read bandwidth [MBytes/s],4968.4129,0,0,0,
Memory read data volume [GBytes],199.2322,0,0,0,
TABLE,Region RS_SEQ_ADD,Group 1 Metric STAT,MEMREAD,6,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,40.0998,0,40.0998,10.0250,
Runtime unhalted [s] STAT,55.2787,0,55.2787,13.8197,
Clock [MHz] STAT,3099.9655,0,3099.9655,774.9914,
CPI STAT,0.5789,0,0.5789,0.1447,
Memory read bandwidth [MBytes/s] STAT,4968.4129,0,4968.4129,1242.1032,
Memory read data volume [GBytes] STAT,199.2322,0,199.2322,49.8081,
