STRUCT,Info,3,,,
CPU name:,AMD EPYC 9754 128-Core Processor               ,,,,
CPU type:,AMD K19 (Zen4c) architecture,,,,
CPU clock:,2.249984252 GHz,,,,
TABLE,Region RS_SEQ_ADD,Group 1 Raw,MEMREAD,16,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
RDTSC Runtime [s],5.193098,5.210686,5.210686,5.210685,
call count,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3
ACTUAL_CPU_CLOCK,FIXC1,16100070000,7498994000,7602890000,7589149000
MAX_CPU_CLOCK,FIXC2,11685540000,5442821000,5518222000,5508254000
RETIRED_INSTRUCTIONS,PMC0,8058380000,8057498000,8057514000,8057508000
CPU_CLOCKS_UNHALTED,PMC1,7223402000,3727672000,3760791000,3744432000
DRAM_READS_LOCAL_CHANNEL_0,DFC0,342091200,0,0,0
DRAM_READS_LOCAL_CHANNEL_1,DFC1,342364600,0,0,0
DRAM_READS_LOCAL_CHANNEL_2,DFC2,342420600,0,0,0
DRAM_READS_LOCAL_CHANNEL_3,DFC3,125857,0,0,0
DRAM_READS_LOCAL_CHANNEL_4,DFC4,129622,0,0,0
DRAM_READS_LOCAL_CHANNEL_5,DFC5,125981,0,0,0
DRAM_READS_LOCAL_CHANNEL_6,DFC6,185781,0,0,0
DRAM_READS_LOCAL_CHANNEL_7,DFC7,194318,0,0,0
DRAM_READS_LOCAL_CHANNEL_8,DFC8,208236,0,0,0
DRAM_READS_LOCAL_CHANNEL_9,DFC9,594285,0,0,0
DRAM_READS_LOCAL_CHANNEL_10,DFC10,585460,0,0,0
DRAM_READS_LOCAL_CHANNEL_11,DFC11,467900,0,0,0
TABLE,Region RS_SEQ_ADD,Group 1 Raw STAT,MEMREAD,16,
Event,Counter,Sum,Min,Max,Avg
ACTUAL_CPU_CLOCK STAT,FIXC1,38791103000,7498994000,16100070000,9697775750
MAX_CPU_CLOCK STAT,FIXC2,28154837000,5442821000,11685540000,7038709250
RETIRED_INSTRUCTIONS STAT,PMC0,32230900000,8057498000,8058380000,8057725000
CPU_CLOCKS_UNHALTED STAT,PMC1,18456297000,3727672000,7223402000,4614074250
DRAM_READS_LOCAL_CHANNEL_0 STAT,DFC0,342091200,0,342091200,85522800
DRAM_READS_LOCAL_CHANNEL_1 STAT,DFC1,342364600,0,342364600,85591150
DRAM_READS_LOCAL_CHANNEL_2 STAT,DFC2,342420600,0,342420600,85605150
DRAM_READS_LOCAL_CHANNEL_3 STAT,DFC3,125857,0,125857,31464.2500
DRAM_READS_LOCAL_CHANNEL_4 STAT,DFC4,129622,0,129622,32405.5000
DRAM_READS_LOCAL_CHANNEL_5 STAT,DFC5,125981,0,125981,31495.2500
DRAM_READS_LOCAL_CHANNEL_6 STAT,DFC6,185781,0,185781,46445.2500
DRAM_READS_LOCAL_CHANNEL_7 STAT,DFC7,194318,0,194318,48579.5000
DRAM_READS_LOCAL_CHANNEL_8 STAT,DFC8,208236,0,208236,52059
DRAM_READS_LOCAL_CHANNEL_9 STAT,DFC9,594285,0,594285,148571.2500
DRAM_READS_LOCAL_CHANNEL_10 STAT,DFC10,585460,0,585460,146365
DRAM_READS_LOCAL_CHANNEL_11 STAT,DFC11,467900,0,467900,116975
TABLE,Region RS_SEQ_ADD,Group 1 Metric,MEMREAD,6,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,
Runtime (RDTSC) [s],5.1931,5.2107,5.2107,5.2107,
Runtime unhalted [s],7.1556,3.3329,3.3791,3.3730,
Clock [MHz],3099.9769,3099.9767,3099.9809,3099.9779,
CPI,0.8964,0.4626,0.4667,0.4647,
Memory read bandwidth [MBytes/s],12687.5337,0,0,0,
Memory read data volume [GBytes],65.8876,0,0,0,
TABLE,Region RS_SEQ_ADD,Group 1 Metric STAT,MEMREAD,6,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,20.8252,5.1931,5.2107,5.2063,
Runtime unhalted [s] STAT,17.2406,3.3329,7.1556,4.3102,
Clock [MHz] STAT,12399.9124,3099.9767,3099.9809,3099.9781,
CPI STAT,2.2904,0.4626,0.8964,0.5726,
Memory read bandwidth [MBytes/s] STAT,12687.5337,0,12687.5337,3171.8834,
Memory read data volume [GBytes] STAT,65.8876,0,65.8876,16.4719,
